1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1110.0	413.0	455.0	420.0	431.0	430.0	476.0	497.0	535.0	558.0	656.0	886.0	2461.0	2291.0	4418.0	8717.0	18237.0	39222.0	120085.0	425823.0	892820.0
3200.0	577.0	690.0	561.0	619.0	475.0	647.0	475.0	542.0	584.0	705.0	1175.0	2524.0	2280.0	4528.0	8814.0	17831.0	39442.0	118258.0	421734.0	850745.0
934.0	410.0	500.0	429.0	487.0	473.0	504.0	609.0	491.0	563.0	627.0	844.0	2364.0	2272.0	4370.0	8604.0	17772.0	40082.0	119943.0	420526.0	878276.0
2310.0	584.0	456.0	564.0	682.0	857.0	556.0	578.0	638.0	577.0	943.0	893.0	2518.0	2379.0	4366.0	8670.0	17577.0	40192.0	116758.0	411620.0	877227.0
3178.0	866.0	668.0	601.0	607.0	606.0	535.0	971.0	481.0	645.0	662.0	1096.0	2420.0	2281.0	4379.0	8799.0	18187.0	39168.0	119649.0	414876.0	876456.0
4009.0	1075.0	726.0	627.0	702.0	848.0	722.0	496.0	765.0	1061.0	728.0	1292.0	2394.0	2258.0	4435.0	8472.0	17387.0	39137.0	121215.0	412099.0	866763.0
737.0	400.0	435.0	410.0	413.0	437.0	480.0	471.0	481.0	513.0	652.0	854.0	2435.0	2305.0	4497.0	8742.0	17879.0	40017.0	113909.0	423135.0	858800.0
3121.0	701.0	580.0	496.0	779.0	490.0	529.0	708.0	487.0	523.0	628.0	1014.0	2403.0	2308.0	4765.0	8687.0	17701.0	38000.0	114644.0	421929.0	860945.0
1976.0	506.0	864.0	604.0	456.0	479.0	475.0	490.0	535.0	540.0	639.0	884.0	2386.0	2320.0	4295.0	8792.0	18384.0	39967.0	115771.0	408435.0	868931.0
2573.0	720.0	444.0	750.0	505.0	671.0	643.0	618.0	1015.0	612.0	660.0	1024.0	2673.0	2275.0	4523.0	8865.0	17701.0	39049.0	107854.0	426251.0	883683.0
6291.0	539.0	692.0	739.0	537.0	674.0	688.0	498.0	652.0	571.0	634.0	862.0	2497.0	2305.0	4515.0	8581.0	18394.0	38238.0	115332.0	412203.0	867026.0
